list lists list 
la las 
vega vegas 
raider raider raiders 
starting starting 
quarterback quarterbacks quarterback 
wikipedia wikipedia 
free free 
encyclopedia encyclopedia 
redirected redirected 
oakland oakland 
jump jump 
navigation navigation 
search search 
wikimedia wikimedia 
article articles article 
nfl nfl 
career career 
passing passing 
touchdown touchdowns 
leader leaders 
yard yard yards 
passer passer 
rating rating 
completion completions 
attempt attempts 
win wins 
annual annual 
playoff playoff 
record records 
season season seasons 
consecutive consecutive 
start start starts 
game games game 
td td 
pas pass 
team team teams 
buf buf 
mia mia 
ne ne 
nyj nyj 
bal bal 
cin cin 
cle cle 
pit pit 
hou hou 
ind ind 
jax jax 
ten ten 
den den 
kc kc 
lac lac 
lv lv 
dal dal 
nyg nyg 
phi phi 
chi chi 
det det 
gb gb 
min min 
atl atl 
car car 
tb tb 
ari ari 
lar lar 
sf sf 
sea sea 
running running 
back backs 
rushing rushing 
club club 
duo duos 
receiver receivers 
reception receptions reception 
receiving receiving 
defense defense 
sack sacks 
interception interceptions 
forced forced 
fumble fumbles 
special special 
longest longest 
field field 
goal goals 
punting punting 
punt punt 
return return 
kickoff kickoff 
purpose purpose 
scoring scoring 
played played 
national national 
football football 
league league 
time time 
loss losses 
individual individual 
award awards 
v v 
e e 
derek derek 
carr carr 
present present 
started started 
least least 
one one 
los los 
angeles angeles 
listed listed 
order order 
date date 
player players player 
first first 
content contents 
regular regular 
postseason postseason 
see see 
also also 
reference references 
edit edit 
ej ej 
manuel manuel 
matt matt 
mcgloin mcgloin 
carson carson 
palmer palmer 
jason jason 
campbell campbell 
kyle kyle 
boller boller 
bruce bruce 
gradkowski gradkowski 
jamarcus jamarcus 
russell russell 
charlie charlie 
frye frye 
ken ken 
stabler stabler 
number number 
right right 
tom tom 
flores flores 
babe babe 
parilli parilli 
cotton cotton 
davidson davidson 
hunter hunter 
enis enis 
heinrich heinrich 
dick dick 
wood wood 
daryle daryle 
lamonica lamonica 
george george 
blanda blanda 
larry larry 
lawrence lawrence 
mike mike 
rae rae 
jim jim 
