list lists list 
kansa kansas 
city city 
chief chiefs 
starting starting 
quarterback quarterbacks quarterback 
wikipedia wikipedia 
free free 
encyclopedia encyclopedia 
jump jump 
navigation navigation 
search search 
information information 
see see 
history history 
nfl nfl 
career career 
passing passing 
touchdown touchdowns 
leader leaders 
yard yard yards 
passer passer 
rating rating 
completion completions 
attempt attempts attempt 
win wins win 
annual annual 
playoff playoff playoffs 
record records record 
season season seasons 
consecutive consecutive 
start start starts 
game games game 
td td 
pas pass 
team team teams 
buf buf 
mia mia 
ne ne 
nyj nyj 
bal bal 
cin cin 
cle cle 
pit pit 
hou hou 
ind ind 
jax jax 
ten ten 
den den 
kc kc 
lac lac 
lv lv 
dal dal 
nyg nyg 
phi phi 
chi chi 
det det 
gb gb 
min min 
atl atl 
car car 
tb tb 
ari ari 
lar lar 
sf sf 
sea sea 
running running 
back backs 
rushing rushing 
club club 
duo duos 
receiver receivers 
reception receptions 
receiving receiving 
defense defense 
sack sacks 
interception interceptions 
forced forced 
fumble fumbles 
special special 
longest longest 
field field 
goal goals 
punting punting 
punt punt 
return return 
kickoff kickoff 
purpose purpose 
scoring scoring 
played played 
national national 
football football 
league league 
time time times 
loss losses 
individual individual 
award awards 
v v vs 
e e 
professional professional 
american american 
based based 
missouri missouri 
member member 
western western 
division division 
conference conference 
originally originally 
named named 
dallas dallas 
texan texans 
founded founded 
lamar lamar 
hunt hunt 
charter charter 
moved moved 
renamed renamed 
different different 
least least 
eleven eleven 
led led 
however however 
five five 
patrick patrick 
mahomes mahomes 
since since 
full full 
beginning beginning 
broke broke 
multiple multiple 
single single 
became became 
first first 
player players player 
mvp mvp 
cotton cotton 
davidson davidson 
inaugural inaugural 
franchise franchise 
traded traded 
oakland oakland 
raider raiders 
len len 
dawson dawson 
signed signed 
known known 
july july 
starter starter 
three three 
championship championships championship 
appeared appeared 
two two 
super super 
bowl bowl 
valuable valuable 
victory victory 
iv iv 
retired retired 
several several 
currently currently 
pro pro 
hall hall 
fame fame 
started started 
one one 
joe joe 
montana montana 
warren warren 
moon moon 
primarily primarily 
due due 
strike strike strikes 
using using 
replacement replacement 
every every 
trent trent 
green green 
lead lead 
liv liv 
winning winning 
content contents 
regular regular 
post post 
note notes 
also also 
